Modo Pagamento
CCC BLACK ITAU [17-07]
CCC BRADESCO ELO [15-12]
CCC INTERBLACK [25-07]
CCC MERCADO PAGO[23-05]
CCC NUBANK [08-07]
CCC PLATINUM ITAU [01-07]
CCC VISA INFINITE [02-09]
*NENHUM
ACERTO NO CARTAO BLACK
ATUALIZACAO MENSAL VALES
BAIXA APLICACAO
BAIXA COMO RECEITA
BOLETO
CARTAO CREDITO EXPIRADO
CARTAO ENZO
CARTAO FILHOS
CARTAO VIVIAN
CCD MAESTRO
CCP PIX
CCP PIX BRADESCO
CHEQUE
CREDITO EM CONTA
DEBITO AUTOMATICO
DINHEIRO
OUTROS MEIOS
SEM CUSTOS
VALE ALIMENTACAO ENZO
VALE ALIMENTACAO VIVIAN
VALE COMPRAS ENZO
VALE MELI+
VALE REFEICAO ENZO
VALE REFEICAO VIVIAN
VALE SHOPEEPAY
VC SODEXO-PLUXEE VIVIAN
